cik,year
0000915358,2017
0000915358,2018
0001010086,2018
0001010086,2019
0001010086,2020
0001010086,2021
0001010086,2022
0001038074,2015
0001038074,2016
0001038074,2017
0001038074,2018
0001038074,2019
0001038074,2020
0001038074,2021
0001038074,2022
0000849869,2018
0000849869,2019
0000849869,2020
0000849869,2021
0000849869,2022
0001003214,2008
0001003214,2009
0001003214,2010
0001003214,2011
0001003214,2012
0001003214,2013
0001003214,2014
0001397702,2018
0001397702,2019
0001397702,2020
0001397702,2021
0001397702,2022
0001180079,2010
0001180079,2011
0001180079,2012
0001180079,2013
0001180079,2014
0001180079,2015
0001180079,2016
0000920371,2015
0000920371,2016
0000920371,2017
0000920371,2018
0000920371,2019
0000920371,2020
0000920371,2021
0000920371,2022
0001269026,2018
0001269026,2019
0001269026,2020
0001269026,2021
0001269026,2022
0001636050,2015
0001636050,2016
0001636050,2017
0001636050,2018
0001636050,2019
0001636050,2020
0001636050,2021
0001636050,2022
0001014507,2010
0001014507,2011
0001014507,2012
0001014507,2013
0001014507,2014
0001014507,2015
0001650729,2014
0001650729,2015
0001650729,2016
0001650729,2017
0001650729,2018
0000090896,2018
0000090896,2019
0000090896,2020
0000090896,2021
0000090896,2022
0001423542,2009
0001423542,2010
0001423542,2011
0001423542,2012
0001423542,2013
0001423542,2014
0001423542,2015
0000004127,2007
0000004127,2008
0000004127,2009
0000004127,2010
0000004127,2011
0000004127,2012
0000004127,2013
0000004127,2014
0000004127,2015
0000004127,2016
0000004127,2017
0000004127,2018
0000004127,2019
0000004127,2020
0000004127,2021
0000004127,2022
0001092796,2015
0001092796,2016
0001092796,2017
0001092796,2018
0001092796,2019
0001092796,2020
0001092796,2021
0000091142,2008
0000091142,2009
0000091142,2010
0000091142,2011
0000091142,2012
0000091142,2013
0000091142,2014
0000091142,2015
0000091142,2016
0000091142,2017
0000091142,2018
0000091142,2019
0000091142,2020
0000091142,2021
0000091142,2022
0001563407,2011
0001563407,2012
0001563407,2013
0001563407,2014
0001563407,2015
0001563407,2016
0001563407,2017
0000721083,2006
0000721083,2007
