cik,year
0000879407,2014
0000879407,2015
0000879407,2016
0000879407,2017
0000879407,2018
0000879407,2019
0000879407,2020
0001005010,2008
0001005010,2009
0001005010,2010
0001005010,2011
0001005010,2012
0001005010,2013
0000007623,2006
0000007623,2007
0000007623,2008
0000007623,2009
0000007623,2010
0000007623,2011
0000007623,2012
0001173752,2010
0001173752,2011
0001173752,2012
0001173752,2013
0001173752,2014
0001655759,2016
0001655759,2017
0001655759,2018
0001655759,2019
0001655759,2020
0001655759,2021
0001655759,2022
0001145986,2012
0001145986,2013
0001145986,2014
0001145986,2015
0001145986,2016
0001145986,2017
0001145986,2018
0001145986,2019
0001145986,2020
0001145986,2021
0001426800,2015
0001426800,2016
0001426800,2017
0001426800,2018
0001426800,2019
0001426800,2020
0001426800,2021
0001426800,2022
0001808665,2008
0001808665,2009
0001808665,2010
0001808665,2011
0001808665,2012
0001808665,2013
0001808665,2014
0001808665,2015
0001808665,2016
0001808665,2017
0001808665,2018
0001808665,2019
0000792987,2014
0000792987,2015
0000792987,2016
0000792987,2017
0000792987,2018
0000792987,2019
0000792987,2020
0000792987,2021
0000792987,2022
0001572552,2015
0001572552,2016
0001572552,2017
0000008063,2008
0000008063,2009
0000008063,2010
0000008063,2011
0000008063,2012
0000008063,2013
0000008063,2014
0000008063,2015
0000008063,2016
0000008063,2017
0001001907,2018
0001001907,2019
0001001907,2020
0001001907,2021
0001001907,2022
0001604464,2014
0001604464,2015
0001604464,2016
0001604464,2017
0001604464,2018
0001604464,2019
0001604464,2020
0001140486,2006
0001140486,2007
0001140486,2008
0001140486,2009
0001140486,2010
0001368148,2013
0001368148,2014
0001368148,2015
0001368148,2016
0001368148,2017
0001368148,2018
0001368148,2019
0001368148,2020
0001368148,2021
0001368148,2022
0001666138,2014
0001666138,2015
0001666138,2016
0001666138,2017
0001666138,2018
0000872448,2007
0000872448,2008
0000872448,2009
0000872448,2010
0000872448,2011
0000872448,2012
0000872448,2013
0000872448,2014
0000872448,2015
0001323885,2008
0001323885,2009
0001323885,2010
0001323885,2011
0001323885,2012
0001323885,2013
0001323885,2014
0001323885,2015
0001323885,2016
0001323885,2017
0001323885,2018
0001323885,2019
0001323885,2020
0001323885,2021
0001532346,2018
0001532346,2019
0001532346,2020
0001532346,2021
0001532346,2022
0000701288,2016
0000701288,2017
0000701288,2018
0000701288,2019
0000701288,2020
0000701288,2021
0000701288,2022
0001201663,2011
0001201663,2012
0001201663,2013
0001201663,2014
0001628738,2014
0001628738,2015
0001628738,2016
0001628738,2017
0001628738,2018
0000350698,2016
0000350698,2017
0000350698,2018
0000350698,2019
0000350698,2020
0000350698,2021
0000350698,2022
0001377789,2018
0001377789,2019
0001377789,2020
0001377789,2021
0001377789,2022
0000704562,2008
0000704562,2009
0000704562,2010
0000704562,2011
0000704562,2012
0000704562,2013
0000704562,2014
0000704562,2015
0000704562,2016
0000704562,2017
